Region,BeginDate,Income ($)
Mongolia,1870,38600
World,1730-2010,9000
Rwanda,1940,22200
Cook Islands,1910,9000
Kyrgyzstan,1920,34400
World,1730-2010,12400
Paraguay,1920,6500
Sint Maarten (Dutch part),1920,12400
Iran,1900,9000
Pitcairn Island,1890,12400
World,1730-2010,9300
Tanzania,1880,9000
World,1730-2010,6500
Barbados,1940,9000
Bhutan,1940,12400
World,1730-2010,9000
India,1890,17200
American Samoa,1910,9000
World,1730-2010,11600
Svalbard And Jan Mayen Islands,1920,20900
Laos,1900,11600
Mayotte,1910,22200
Falkland Islands,1940,6500
World,1730-2010,9300
American Samoa,1880,5400
World,1730-2010,5400
Cape Verde,1930,3100
World,1730-2010,6500
Algeria,1910,34700
World,1730-2010,20900
Zambia,1920,11600
World,1730-2010,5400
World,1730-2010,6500
Afghanistan,1940,34400
Wallis And Futuna Islands,1940,12400
Ethiopia,1930,3100
Namibia,1920,34700
Lesotho,1890,9000
Rwanda,1890,9300
World,1730-2010,20900
East Timor,1950,9300
Nauru,1930,9000
Belgium,1930,9000
Rwanda,1930,11600
Philippines,1950,9000
World,1730-2010,5400
Portugal,1920,6500
Chad,1880,11600
Brazil,1950,9000
Armenia,1910,9300
Macau S.A.R.,1950,12400
Bahrain,1950,9000
World,1730-2010,12400
Laos,1900,9000
Gibraltar,1910,34400
Turkmenistan,1900,11600
Venezuela,1900,34700
World,1730-2010,6500
World,1730-2010,5400
Bhutan,1930,24100
Marshall Islands,1880,22200
Reunion,1870,12400
Slovakia,1930,9000
Romania,1910,12400
World,1730-2010,6500
Sweden,1920,42800
World,1730-2010,45500
Somalia,1900,17200
Curaçao,1900,5400
Sierra Leone,1950,11600
World,1730-2010,9300
Serbia,1860,9300
Sudan,1940,3100
Guyana,1930,6500
Papua new Guinea,1920,3100
World,1730-2010,20900
Austria,1940,5400
Seychelles,1940,34400
World,1730-2010,22200
Papua new Guinea,1890,5400
Afghanistan,1910,5400
Malta,1900,9000
World,1730-2010,11600
Morocco,1940,34700
Chad,1920,20900
World,1730-2010,12400
Paraguay,1920,5400
Mongolia,1920,25800
East Timor,1940,9300
Netherlands The,1950,20900
World,1730-2010,22200
Cook Islands,1970,11600
New Zealand,1940,20900
Dominica,1920,9000
Mayotte,1910,6500
World,1730-2010,9300
Equatorial Guinea,1890,20900
World,1730-2010,6500
World,1730-2010,9300
Andorra,1930,12400
Brazil,1930,11600
Gibraltar,1900,25800
Guadeloupe,1940,9000
Cameroon,1940,38600
World,1730-2010,9300
Cambodia,1910,5400
Indonesia,1930,6500
Bhutan,1940,22200
East Timor,1940,20900
World,1730-2010,11600
Northern Mariana Islands,1910,22200
World,1730-2010,5400
China,1910,20900
World,1730-2010,11600
Peru,1900,11600
Montenegro,1880,17200
Turkmenistan,1900,9300
World,1730-2010,25800
Falkland Islands,1890,17200
Puerto Rico,1920,11600
World,1730-2010,24100
World,1730-2010,11600
Portugal,1890,9000
World,1730-2010,20900
World,1730-2010,11600
Turkey,1890,17200
Kosovo,1910,39500
World,1730-2010,9000
World,1730-2010,12400
World,1730-2010,6500
Svalbard And Jan Mayen Islands,1920,22200
World,1730-2010,5400
World,1730-2010,9000
Martinique,1930,9300
World,1730-2010,9300
World,1730-2010,20900
Togo,1930,38600
Sint Maarten (Dutch part),1920,17200
Grenada,1930,22200
Taiwan,1940,12400
World,1730-2010,17200
World,1730-2010,9000
Slovakia,1910,20900
Kenya,1930,6500
Zimbabwe,1920,20900
Saint-Barthelemy,1900,12400
Sao Tome and Principe,1940,6500
World,1730-2010,9000
Honduras,1910,9000
Iceland,1890,17200
World,1730-2010,6500
Cook Islands,1970,5400
World,1730-2010,12400
Papua new Guinea,1900,5400
Bermuda,1920,22200
Bermuda,1890,5400
Nigeria,1920,22200
World,1730-2010,24100
World,1730-2010,3100
Argentina,1940,25800
Malawi,1860,22200
Mauritius,1940,9300
Australia,1920,5400
Trinidad And Tobago,1950,12400
Switzerland,1940,11600
Libya,1890,12400
Mauritius,1920,12400
Palau,1940,12400
World,1730-2010,20900
Argentina,1950,6500
World,1730-2010,17200
France,1870,5400
World,1730-2010,12400
Thailand,1880,11600
World,1730-2010,9300
Cameroon,1910,9300
Montserrat,1940,9300
Panama,1950,9300
Uganda,1920,38600
World,1730-2010,9000
Equatorial Guinea,1900,9000
Guinea,1940,9300
United Kingdom,1860,6500
France,1930,12400
Samoa,1930,11600
World,1730-2010,5400
World,1730-2010,11600
Svalbard And Jan Mayen Islands,1930,25800
World,1730-2010,12400
Croatia (Hrvatska),1950,24100
Senegal,1910,5400
South Georgia,1890,6500
Iceland,1920,6500
Nauru,1910,9000
World,1730-2010,22200
World,1730-2010,24100
Uruguay,1930,17200
Haiti,1890,6500
Poland,2010,9300
"Bonaire, Sint Eustatius and Saba",1930,39500
Latvia,1880,34400
World,1730-2010,11600
Israel,1920,12400
Korea North,1900,5400
New Caledonia,1950,9300
World,1730-2010,17200
India,1890,9000
Jamaica,1930,9300
Saint Vincent And The Grenadines,1930,24100
World,1730-2010,9300
Andorra,1910,25800
Western Sahara,1930,17200
Solomon Islands,1920,9000
World,1730-2010,9300
World,1730-2010,6500
Armenia,1930,17200
Saint-Barthelemy,1900,9300
World,1730-2010,5400
Vatican City State (Holy See),1940,22200
Kiribati,1940,11600
Burkina Faso,1890,9300
Poland,1920,17200
Jordan,1940,9000
World,1730-2010,12400
World,1730-2010,20900
World,1730-2010,11600
World,1730-2010,12400
New Caledonia,1900,9300
India,1940,6500
San Marino,1940,22200
Liechtenstein,1930,9300
Iran,1930,24100
Kosovo,1930,11600
Tanzania,1900,11600
Liechtenstein,1970,25800
Indonesia,1900,9300
World,1730-2010,9300
Cuba,1920,5400
Monaco,1940,17200
Greece,1910,39500
World,1730-2010,11600
France,1930,6500
New Caledonia,1890,34700
Bolivia,1920,17200
World,1730-2010,12400
Lebanon,1910,17200
World,1730-2010,3100
World,1730-2010,6500
Korea South,1930,20900
Latvia,1880,5400
World,1730-2010,11600
Liberia,1900,9300
Bermuda,1930,9000
Marshall Islands,1940,24100
Argentina,1940,9300
World,1730-2010,22200
Faroe Islands,1930,9300
Marshall Islands,1930,11600
Saint-Martin (French part),1920,9000
Lebanon,1900,38600
Germany,1880,11600
Panama,1930,12400
Gibraltar,1900,20900
Belgium,1920,9300
Pitcairn Island,1920,9000
Pakistan,1920,6500
Paraguay,1920,12400
World,1730-2010,20900
Trinidad And Tobago,1880,22200
China,1900,9300
Tuvalu,1890,9000
Cuba,1940,3100
Brazil,1940,12400
Guinea-Bissau,1920,24100
World,1730-2010,22200
Cote D'Ivoire (Ivory Coast),1860,9300
Saint Kitts And Nevis,1880,9000
Tanzania,1880,22200
Kiribati,1920,25800
World,1730-2010,34700
Turks And Caicos Islands,1930,9300
Cayman Islands,1920,17200
Tuvalu,1940,12400
Luxembourg,1940,9000
Mayotte,1930,11600
Algeria,1940,5400
Latvia,1930,12400
Cayman Islands,1970,9000
World,1730-2010,24100
Georgia,1910,9000
United Kingdom,1920,9000
French Guiana,1890,6500
World,1730-2010,3100
Botswana,1890,25800
Guadeloupe,1920,25800
Uganda,1950,9300
World,1730-2010,11600
World,1730-2010,11600
Equatorial Guinea,1870,11600
Moldova,1930,11600
Solomon Islands,1930,42800
World,1730-2010,11600
World,1730-2010,20900
Reunion,1940,12400
World,1730-2010,3100
World,1730-2010,17200
Malta,1950,9300
Eritrea,1920,12400
World,1730-2010,20900
Hong Kong S.A.R.,1930,9300
Macau S.A.R.,1940,9300
Turks And Caicos Islands,1830,12400
Israel,1900,9000
China,1950,20900
World,1730-2010,12400
World,1730-2010,9300
Azerbaijan,1930,9000
World,1730-2010,12400
Slovakia,1930,5400
Iran,1940,9300
Kiribati,1940,42800
Panama,1930,6500
Maldives,1880,5400
Faroe Islands,1880,20900
Angola,1910,25800
Cook Islands,1880,6500
Bolivia,1900,9300
Gabon,1880,9000
World,1730-2010,43100
World,1730-2010,20900
Faroe Islands,1880,11600
World,1730-2010,3100
Lebanon,1930,12400
Kosovo,1880,25800
Macedonia,1920,9000
Mayotte,1970,3100
Saint-Barthelemy,1900,25800
Austria,1940,17200
World,1730-2010,6500
France,1930,22200
Paraguay,1890,17200
Bhutan,1910,9300
Reunion,1870,34700
World,1730-2010,20900
South Africa,1900,3100
Guinea,1930,9300
Lesotho,1930,6500
World,1730-2010,12400
Djibouti,1950,24100
World,1730-2010,17200
Indonesia,1900,11600
Korea South,1930,12400
Cambodia,1930,22200
World,1730-2010,6500
World,1730-2010,9000
China,1900,6500
World,1730-2010,24100
Svalbard And Jan Mayen Islands,1900,17200
World,1730-2010,38600
Malawi,1950,38600
Vanuatu,1910,12400
United Arab Emirates,1900,9300
Brazil,1920,20900
Chile,1880,9300
Bahrain,1900,12400
New Zealand,1900,9000
World,1730-2010,5400
World,1730-2010,9300
Mali,1910,9000
Brunei,1920,42800
Kenya,1910,11600
World,1730-2010,12400
World,1730-2010,9300
World,1730-2010,9300
Oman,1920,11600
Croatia (Hrvatska),1920,24100
Madagascar,1910,9000
Ethiopia,1940,6500
Hong Kong S.A.R.,1930,9000
Norfolk Island,1940,20900
World,1730-2010,9000
World,1730-2010,20900
Cameroon,1920,5400
World,1730-2010,20900
Kosovo,1940,9000
World,1730-2010,9000
Gambia The,1920,9300
Algeria,1880,9300
Czech Republic,1930,9300
World,1730-2010,5400
French Southern Territories,1890,11600
Guyana,1920,6500
Central African Republic,1910,17200
Bermuda,1920,24100
Gabon,1880,5400
Saint Pierre and Miquelon,1880,11600
Western Sahara,1920,6500
Dominican Republic,1900,9300
Reunion,1930,9300
World,1730-2010,12400
World,1730-2010,11600
World,1730-2010,11600
World,1730-2010,12400
Guinea-Bissau,1970,25800
Bahrain,1930,6500
Micronesia,1930,17200
Belgium,1930,9000
Guinea-Bissau,1940,12400
Swaziland,1910,9300
World,1730-2010,17200
New Caledonia,1900,9300
World,1730-2010,9300
Saint-Barthelemy,1940,34700
World,1730-2010,9000
World,1730-2010,9300
Burkina Faso,1890,5400
World,1730-2010,17200
World,1730-2010,9300
World,1730-2010,38600
Mali,1890,9300
World,1730-2010,34400
Norfolk Island,1930,42800
"Bonaire, Sint Eustatius and Saba",1940,24100
World,1730-2010,3100
French Guiana,1950,9000
Gibraltar,1920,9300
Rwanda,1930,9000
Finland,1910,12400
Brazil,1930,12400
World,1730-2010,9000
World,1730-2010,9000
Jersey,1930,6500
Chile,1890,3100
Japan,1940,12400
Cocos (Keeling) Islands,1900,24100
Sao Tome and Principe,1940,24100
World,1730-2010,9300
Greenland,1930,9000
Christmas Island,1940,12400
Saint Helena,1920,6500
World,1730-2010,9000
Zambia,1940,5400
Trinidad And Tobago,1930,9300
Kyrgyzstan,1950,45500
Estonia,1920,9000
Zimbabwe,1930,12400
Cote D'Ivoire (Ivory Coast),1910,6500
Greece,1940,5400
Georgia,1930,9300
Lithuania,1940,34700
Macedonia,1930,6500
Spain,1940,9000
World,1730-2010,17200
Burkina Faso,1940,38600
Uzbekistan,1930,11600
World,1730-2010,9300
Pakistan,1930,3100
World,1730-2010,38600
Macau S.A.R.,1900,20900
World,1730-2010,9300
Marshall Islands,1940,24100
World,1730-2010,34400
United States,1900,12400
New Caledonia,1940,17200
World,1730-2010,20900
Georgia,1920,11600
Bangladesh,1950,3100
World,1730-2010,38600
Costa Rica,1960,17200
Marshall Islands,1930,9300
Jordan,1880,9000
World,1730-2010,11600
Bahrain,1930,5400
Christmas Island,1890,9000
Philippines,1940,34400
World,1730-2010,12400
Djibouti,1930,38600
Egypt,1920,5400
World,1730-2010,9300
Nicaragua,1900,17200
World,1730-2010,9000
Korea North,1920,9000
World,1730-2010,9300
Western Sahara,1900,12400
Dominican Republic,1920,9300
Fiji Islands,1900,6500
Saint Kitts And Nevis,1940,9300
Northern Mariana Islands,1930,9000
Russia,1940,20900
El Salvador,1920,9000
Macedonia,1930,9300
China,1940,9000
Tajikistan,1920,22200
Greece,1880,25800
Madagascar,1930,11600
World,1730-2010,9300
Cuba,1890,9000
Nauru,1930,12400
Gibraltar,1890,9300
Azerbaijan,1940,24100
Aland Islands,1940,6500
Jordan,1940,34700
Rwanda,1920,9000
Gabon,1880,9300
Saint-Barthelemy,1900,45500
Puerto Rico,1890,25800
Bahrain,1920,9000
Vietnam,1940,9300
Cape Verde,1880,17200
Uruguay,1930,9300
World,1730-2010,22200
Greece,1930,9300
Croatia (Hrvatska),1860,22200
World,1730-2010,3100
United Kingdom,1940,9000
India,1910,9000
Kuwait,1940,11600
French Polynesia,1930,9000
Macau S.A.R.,1930,17200
Jersey,1930,42800
Central African Republic,1910,9300
Malta,1930,3100
Luxembourg,1930,38600
Taiwan,1890,17200
Czech Republic,1890,39500
Croatia (Hrvatska),1910,11600
Greece,1860,3100
World,1730-2010,11600
World,1730-2010,20900
World,1730-2010,9300
Morocco,1930,9300
Guatemala,1850,12400
Cambodia,1910,3100
French Southern Territories,1930,25800
Brazil,1920,20900
World,1730-2010,5400
Trinidad And Tobago,1950,20900
World,1730-2010,9000
United Kingdom,1900,11600
Guinea,1910,12400
Central African Republic,1930,12400
Greece,1920,17200
Comoros,1930,6500
Saint Pierre and Miquelon,1940,12400
World,1730-2010,9000
Serbia,1950,9300
Lebanon,1940,12400
World,1730-2010,9000
United States,1940,6500
Dominica,1940,9300
World,1730-2010,5400
World,1730-2010,9300
New Caledonia,1940,20900
World,1730-2010,9300
Hong Kong S.A.R.,1940,17200
Liechtenstein,1930,6500
Falkland Islands,1930,22200
Lebanon,1930,12400
Singapore,1910,20900
Cambodia,1920,43100
Saint Kitts And Nevis,1930,25800
Svalbard And Jan Mayen Islands,1920,25800
Morocco,1940,6500
Faroe Islands,1930,24100
World,1730-2010,5400
Oman,1940,38600
Venezuela,1940,22200
United States,1920,3100
Serbia,1920,9300
Benin,1940,12400
Morocco,1940,22200
World,1730-2010,3100
Azerbaijan,1890,9000
Indonesia,1920,3100
Japan,1870,6500
Costa Rica,1940,17200
Tajikistan,1940,20900
Ethiopia,1950,3100
Grenada,1940,9300
World,1730-2010,6500
World,1730-2010,6500
Senegal,1880,24100
Cambodia,1920,11600
World,1730-2010,34400
Bolivia,1910,9300
Sri Lanka,1920,20900
World,1730-2010,9300
Bahamas The,1900,12400
Peru,1900,9000
World,1730-2010,9300
Tunisia,1880,9300
Mali,1890,17200
Tanzania,1960,17200
World,1730-2010,25800
Colombia,1950,25800
British Indian Ocean Territory,1880,9300
Portugal,1940,9000
Nicaragua,1940,9300
World,1730-2010,22200
World,1730-2010,9300
World,1730-2010,17200
Algeria,1930,6500
Cyprus,1960,9300
Germany,1920,9300
Tonga,1890,34400
Armenia,1940,25800
Spain,1920,17200
World,1730-2010,9000
World,1730-2010,6500
Kazakhstan,1920,5400
Saint Helena,1950,12400
Austria,1960,24100
World,1730-2010,22200
Cayman Islands,1920,11600
Tajikistan,1940,9000
Congo,1940,9000
France,1910,12400
Finland,1910,11600
Saint Lucia,1950,17200
Pitcairn Island,1890,12400
Mozambique,1940,24100
Maldives,1880,17200
World,1730-2010,5400
Latvia,1880,9300
World,1730-2010,9300
Belgium,1920,17200
Puerto Rico,1890,9300
Cayman Islands,1910,9300
Man (Isle of),1880,17200
Jamaica,1920,9300
Cyprus,1900,25800
Mali,1920,12400
Korea North,1880,11600
Libya,1930,17200
Guatemala,1930,22200
World,1730-2010,9300
Bhutan,1900,17200
Guadeloupe,1920,11600
Liechtenstein,1890,9300
Slovakia,1970,12400
Montserrat,1940,6500
World,1730-2010,9300
Antigua And Barbuda,1910,9000
Spain,1900,9300
Kyrgyzstan,1920,25800
Virgin Islands (British),1930,9300
Japan,1930,6500
World,1730-2010,24100
World,1730-2010,9000
World,1730-2010,17200
Dominican Republic,1900,17200
World,1730-2010,17200
Sierra Leone,1860,12400
Portugal,1930,6500
Dominican Republic,1910,9300
Martinique,1930,5400
New Zealand,1940,9300
Dominican Republic,1910,22200
Slovenia,1930,11600
World,1730-2010,17200
Slovakia,1920,17200
Libya,1930,38600
Benin,1950,5400
World,1730-2010,20900
United States,1920,11600
Mali,1930,6500
Tuvalu,1920,5400
Cameroon,1890,17200
Palestinian Territory Occupied,1940,6500
Monaco,1910,17200
Morocco,1920,6500
World,1730-2010,9300
Luxembourg,1930,5400
Belarus,1910,9300
Solomon Islands,1930,9300
Curaçao,1940,22200
Lithuania,1920,9000
Ukraine,1920,6500
World,1730-2010,9000
South Sudan,1890,12400
World,1730-2010,11600
Virgin Islands (British),1940,34400
World,1730-2010,12400
Tunisia,1950,11600
Pakistan,1910,12400
Sweden,1930,9300
Bermuda,1920,9300
Guam,1950,11600
Jamaica,1930,9300
Tonga,1890,12400
Nauru,1920,20900
Monaco,1940,9300
Burundi,1920,9300
Afghanistan,1960,5400
Saint-Martin (French part),1920,12400
World,1730-2010,17200
World,1730-2010,6500
Guam,1900,17200
Ghana,1930,9300
World,1730-2010,20900
Lesotho,1910,9300
Jersey,1950,12400
World,1730-2010,9000
Oman,1900,9300
Central African Republic,1900,9300
Luxembourg,1860,12400
World,1730-2010,22200
Tunisia,1920,20900
Japan,1890,9300
World,1730-2010,6500
Montenegro,1940,9300
Grenada,1940,12400
Albania,1870,11600
World,1730-2010,9300
"Bonaire, Sint Eustatius and Saba",1930,6500
World,1730-2010,17200
India,1900,24100
Pakistan,1900,6500
San Marino,1940,20900
Thailand,1880,11600
World,1730-2010,9000
Fiji Islands,1950,9300
World,1730-2010,9300
Western Sahara,1940,9000
World,1730-2010,24100
Greece,1920,22200
Turks And Caicos Islands,1900,9000
Vanuatu,1900,9000
Poland,1930,12400
Cayman Islands,1940,9300
World,1730-2010,3100
Azerbaijan,1900,6500
World,1730-2010,12400
Cambodia,1910,9300
World,1730-2010,11600
World,1730-2010,9000
Latvia,1920,9000
World,1730-2010,25800
Gambia The,1880,9000
Libya,1960,9300
Sri Lanka,1940,22200
Mali,1880,3100
World,1730-2010,9300
World,1730-2010,12400
World,1730-2010,24100
Netherlands The,1940,34400
Bahamas The,1920,5400
South Africa,1920,12400
World,1730-2010,6500
Croatia (Hrvatska),1930,3100
South Georgia,1890,20900
World,1730-2010,9000
Burkina Faso,1930,6500
World,1730-2010,9000
Greenland,1950,34400
Germany,1890,20900
World,1730-2010,20900
World,1730-2010,6500
Kosovo,1880,9000
Slovenia,1910,22200
Nauru,1930,6500
Mauritania,1940,5400
World,1730-2010,11600
Armenia,1930,11600
Eritrea,1910,5400
Bahrain,1930,17200
El Salvador,1950,9000
Mauritania,1900,3100
Marshall Islands,1900,9000
Montenegro,1880,22200
Qatar,1940,20900
Monaco,1900,38600
Samoa,1910,9300
Christmas Island,1940,5400
World,1730-2010,22200
Greece,1890,38600
South Sudan,1970,9000
Serbia,1950,9300
Rwanda,1920,9300
Gabon,1900,9300
World,1730-2010,9300
Saint Helena,1920,24100
Comoros,1920,12400
Belarus,1900,9300
Brunei,1950,9000
Botswana,1920,12400
Vietnam,1900,9300
Saint Helena,1920,20900
South Africa,1910,5400
South Georgia,1930,9300
Fiji Islands,1890,22200
Hungary,1890,9300
World,1730-2010,25800
South Georgia,1940,11600
Belgium,1940,9000
Brazil,1920,5400
Liberia,1920,9000
Lesotho,1880,9000
Jordan,1880,9300
Montenegro,1940,9300
World,1730-2010,11600
Curaçao,1890,24100
World,1730-2010,9000
Micronesia,1920,22200
World,1730-2010,6500
World,1730-2010,24100
Congo The Democratic Republic Of The,1910,20900
Italy,1900,22200
Vanuatu,1950,11600
Saint Helena,1940,5400
World,1730-2010,11600
Aruba,1940,17200
Aland Islands,1930,17200
Ghana,1900,11600
World,1730-2010,3100
Lebanon,1890,24100
World,1730-2010,5400
Afghanistan,1930,24100
Ethiopia,1950,11600
Serbia,1930,24100
Faroe Islands,1920,9000
Palestinian Territory Occupied,1930,38600
Czech Republic,1940,34400
Argentina,1930,12400
Singapore,1890,9300
Madagascar,1930,9300
Nepal,1940,9000
Mongolia,1950,11600
Montenegro,1930,11600
Monaco,1900,3100
Central African Republic,1900,9300
Vietnam,1900,9300
Saint Helena,1910,42800
Czech Republic,1940,5400
Andorra,1880,9000
Northern Mariana Islands,1930,9000
Colombia,1940,9000
Burkina Faso,1930,9300
Wallis And Futuna Islands,1920,5400
Afghanistan,1900,38600
Congo,1920,24100
Pakistan,1900,39500
World,1730-2010,12400
Samoa,1920,9300
World,1730-2010,11600
World,1730-2010,20900
Aland Islands,1930,9300
Madagascar,1940,12400
Virgin Islands (British),1920,22200
Seychelles,1900,9300
World,1730-2010,11600
World,1730-2010,22200
World,1730-2010,17200
Monaco,1950,39500
China,1920,3100
United States,1940,20900
United States,1940,9000
Antigua And Barbuda,1940,6500
Palau,1920,11600
Cook Islands,1920,12400
Bermuda,1930,20900
San Marino,1930,17200
World,1730-2010,11600
Svalbard And Jan Mayen Islands,1940,12400
Kiribati,1900,38600
Solomon Islands,1930,17200
World,1730-2010,24100
Tuvalu,1950,17200
Gambia The,1900,17200
World,1730-2010,20900
World,1730-2010,6500
French Southern Territories,1880,9300
Montserrat,1880,25800
Iceland,1950,6500
Sweden,1930,5400
Martinique,1840,12400
Cocos (Keeling) Islands,1930,17200
Guam,1930,25800
Iceland,1900,22200
World,1730-2010,20900
World,1730-2010,39500
Singapore,1910,9300
Christmas Island,1920,12400
Saint Lucia,1920,9000
Brunei,1930,5400
Nepal,1940,11600
Iran,1950,20900
Palau,1900,12400
World,1730-2010,22200
Cuba,1880,20900
World,1730-2010,12400
World,1730-2010,22200
Laos,1900,17200
World,1730-2010,17200
World,1730-2010,3100
Ireland,1950,9300
World,1730-2010,12400
United Arab Emirates,1940,11600
Luxembourg,1930,24100
United States,1910,39500
Cote D'Ivoire (Ivory Coast),1910,9000
Liechtenstein,1900,20900
Georgia,1940,11600
Tunisia,1940,12400
Saint Kitts And Nevis,1860,34400
World,1730-2010,17200
Netherlands The,1920,20900
Burundi,1920,24100
World,1730-2010,20900
Vanuatu,1920,22200
Iceland,1920,12400
Mali,1890,9300
Russia,1940,9300
Serbia,1910,25800
World,1730-2010,9300
Ukraine,1900,17200
French Southern Territories,1920,25800
World,1730-2010,11600
World,1730-2010,9300
Serbia,1920,9000
Micronesia,1930,9000
World,1730-2010,9300
Congo The Democratic Republic Of The,1930,11600
Georgia,1930,5400
Tuvalu,1930,11600
Burundi,1910,3100
Rwanda,1900,20900
World,1730-2010,20900
Cameroon,1930,3100
Italy,1850,9300
Jordan,1930,9000
South Sudan,1910,22200
World,1730-2010,9000
Guyana,1920,25800
Saint-Martin (French part),1880,6500
World,1730-2010,9300
Dominican Republic,2000,9300
Hong Kong S.A.R.,1930,9300
United Arab Emirates,1920,5400
World,1730-2010,9300
World,1730-2010,20900
Curaçao,1900,43100
Niue,1940,9000
Dominican Republic,1920,25800
Paraguay,1910,11600
World,1730-2010,9300
Mali,1920,11600
Bolivia,1910,24100
Peru,1920,24100
Equatorial Guinea,1900,9000
Hong Kong S.A.R.,1930,39500
Mali,1950,11600
World,1730-2010,9300
Somalia,1890,42800
World,1730-2010,9300
Nicaragua,1930,5400
World,1730-2010,9300
World,1730-2010,9300
World,1730-2010,9300
New Zealand,1880,9300
World,1730-2010,6500
World,1730-2010,24100
Greenland,1900,12400
World,1730-2010,9000
Comoros,1910,22200
Qatar,1940,39500
Estonia,1950,5400
Luxembourg,1930,17200
Saint Pierre and Miquelon,1940,24100
Malaysia,1920,22200
World,1730-2010,12400
Nicaragua,1930,11600
Mauritius,1940,11600
Latvia,1910,17200
World,1730-2010,9300
Bulgaria,1930,12400
Malawi,1900,22200
Jersey,1940,6500
South Georgia,1960,5400
Northern Mariana Islands,1900,38600
Senegal,1910,6500
Dominican Republic,1890,9300
Ghana,1900,9000
Sweden,1920,22200
Saint Helena,1930,11600
Thailand,1920,3100
Poland,1930,25800
Vietnam,1940,24100
Panama,1930,6500
Serbia,1890,9300
Sweden,1880,22200
Saint Lucia,1910,9000
Tuvalu,1970,9300
Maldives,1940,20900
World,1730-2010,20900
Togo,1920,22200
World,1730-2010,3100
Zambia,1930,12400
Niger,1900,22200
Cuba,1940,9000
Mauritania,1920,17200
Mayotte,1890,24100
Swaziland,1950,11600
World,1730-2010,12400
Andorra,1900,3100
Trinidad And Tobago,1900,12400
Niger,1940,17200
China,1920,9300
World,1730-2010,12400
Seychelles,1930,6500
World,1730-2010,9000
Palau,1900,22200
World,1730-2010,20900
Germany,1930,9000
World,1730-2010,11600
Saint Kitts And Nevis,1950,12400
Turks And Caicos Islands,1930,12400
New Zealand,1940,9300
Rwanda,1890,9300
Italy,1940,9300
World,1730-2010,22200
World,1730-2010,24100
Tonga,1910,24100
Palau,1930,11600
Niue,1900,20900
World,1730-2010,12400
Belize,1910,20900
Australia,1940,34400
Saudi Arabia,1920,9300
Bahrain,1880,20900
New Caledonia,1950,9300
United Kingdom,1910,9300
World,1730-2010,5400
Trinidad And Tobago,1940,9300
Japan,1930,11600
World,1730-2010,9000
Mali,1880,20900
Burkina Faso,1890,5400
World,1730-2010,5400
Virgin Islands (British),1940,24100
Venezuela,1930,24100
Spain,1930,24100
World,1730-2010,9300
Afghanistan,1910,3100
Serbia,1860,11600
Russia,1940,11600
Guinea,1900,9000
World,1730-2010,20900
Malawi,1900,25800
South Georgia,1940,17200
Moldova,1910,20900
World,1730-2010,11600
French Southern Territories,1890,9300
Portugal,1920,22200
Bahamas The,1910,6500
Benin,1950,20900
World,1730-2010,9300
Mongolia,1900,11600
World,1730-2010,5400
World,1730-2010,9300
Bangladesh,1930,9300
Ethiopia,1900,12400
Slovakia,1930,9300
World,1730-2010,25800
Iceland,1890,12400
World,1730-2010,9000
Trinidad And Tobago,1920,6500
World,1730-2010,9300
World,1730-2010,17200
South Sudan,1930,6500
Andorra,1900,9000
Poland,1920,9300
World,1730-2010,12400
World,1730-2010,9000
Vanuatu,1910,20900
Botswana,1930,9300
Czech Republic,1940,11600
Uruguay,1930,12400
Portugal,1890,5400
World,1730-2010,9300
Slovenia,1920,6500
World,1730-2010,3100
World,1730-2010,5400
Qatar,1930,6500
Virgin Islands (US),1940,11600
World,1730-2010,34400
Fiji Islands,1900,6500
World,1730-2010,5400
Sierra Leone,1940,11600
Bangladesh,1880,17200
World,1730-2010,9300
Pakistan,1920,11600
Tuvalu,1930,9000
Italy,1930,34700
World,1730-2010,12400
Iraq,1920,9300
World,1730-2010,12400
World,1730-2010,9300
Dominican Republic,1890,20900
World,1730-2010,17200
Armenia,1930,17200
Seychelles,1920,12400
Benin,1930,17200
British Indian Ocean Territory,1910,20900
World,1730-2010,38600
Uzbekistan,1900,24100
Saint Pierre and Miquelon,1920,25800
Bangladesh,1920,6500
Micronesia,1920,9300
World,1730-2010,9300
World,1730-2010,9000
Bolivia,1930,9000
Senegal,1940,34400
World,1730-2010,34700
Belgium,1940,5400
Cameroon,1930,20900
Togo,1900,9300
Luxembourg,1910,24100
Man (Isle of),1960,9000
World,1730-2010,9000
Bhutan,1860,9000
Costa Rica,1900,34700
Palau,1940,9300
Maldives,1880,22200
Estonia,1920,9000
Guadeloupe,1890,11600
Christmas Island,1940,12400
Dominican Republic,2000,12400
World,1730-2010,12400
Latvia,1930,9000
Switzerland,1950,11600
World,1730-2010,6500
Montserrat,1980,25800
British Indian Ocean Territory,1910,11600
Italy,1920,22200
Bahrain,1940,25800
World,1730-2010,5400
World,1730-2010,22200
World,1730-2010,17200
Seychelles,1930,9000
Mexico,1930,5400
Australia,1930,9300
World,1730-2010,20900
Italy,1960,6500
Seychelles,1920,5400
Guernsey and Alderney,1920,9300
Madagascar,1940,3100
Antigua And Barbuda,1940,24100
Hong Kong S.A.R.,1900,20900
Kiribati,1930,22200
Bulgaria,1930,9300
Virgin Islands (US),1900,22200
Togo,1900,9300
Swaziland,1940,9300
South Georgia,1920,17200
Spain,1890,17200
World,1730-2010,9300
