Region,BeginDate,Income ($)
Port Vila; Vanuatu; Melanesia; Oceania,1930,20900
Pretoria; South Africa; Southern Africa; Africa,1914,5400
Grytviken; South Georgia; South America; Americas,1933,9300
Suva; Fiji Islands; Melanesia; Oceania,1893,22200
Budapest; Hungary; Eastern Europe; Europe,1898,9300
Conakry; Guinea; Western Africa; Africa,1889,25800
Grytviken; South Georgia; South America; Americas,1946,11600
Brussels; Belgium; Western Europe; Europe,1946,9000
Brasilia; Brazil; South America; Americas,1924,5400
Monrovia; Liberia; Western Africa; Africa,1926,9000
Maseru; Lesotho; Southern Africa; Africa,1885,9000
Amman; Jordan; Western Asia; Asia,1887,9300
Podgorica; Montenegro; Southern Europe; Europe,1940,9300
Algiers; Algeria; Northern Africa; Africa,1892,11600
Willemstad; Curaçao; Caribbean; Americas,1899,24100
St Peter Port; Guernsey and Alderney; Northern Europe; Europe,1889,9000
Palikir; Micronesia; Micronesia; Oceania,1920,22200
Ljubljana; Slovenia; Southern Europe; Europe,1796,6500
Dhaka; Bangladesh; Southern Asia; Asia,1908,24100
Kinshasa; Congo The Democratic Republic Of The; Middle Africa; Africa,1918,20900
Rome; Italy; Southern Europe; Europe,1905,22200
Port Vila; Vanuatu; Melanesia; Oceania,1952,11600
Jamestown; Saint Helena; Western Africa; Africa,1949,5400
Lilongwe; Malawi; Eastern Africa; Africa,1880,11600
Oranjestad; Aruba; Caribbean; Americas,1948,17200
Mariehamn; Aland Islands; Northern Europe; Europe,1932,17200
Accra; Ghana; Western Africa; Africa,1907,11600
Abu Dhabi; United Arab Emirates; Western Asia; Asia,1873,3100
Beirut; Lebanon; Western Asia; Asia,1894,24100
Ouagadougou; Burkina Faso; Western Africa; Africa,1872,5400
Kabul; Afghanistan; Southern Asia; Asia,1931,24100
Addis Ababa; Ethiopia; Eastern Africa; Africa,1951,11600
Belgrade; Serbia; Southern Europe; Europe,1930,24100
Torshavn; Faroe Islands; Northern Europe; Europe,1920,9000
East Jerusalem; Palestinian Territory Occupied; Western Asia; Asia,1936,38600
Prague; Czech Republic; Eastern Europe; Europe,1941,34400
Buenos Aires; Argentina; South America; Americas,1930,12400
Singapur; Singapore; South-Eastern Asia; Asia,1890,9300
Antananarivo; Madagascar; Eastern Africa; Africa,1938,9300
Kathmandu; Nepal; Southern Asia; Asia,1940,9000
Ulan Bator; Mongolia; Eastern Asia; Asia,1950,11600
Podgorica; Montenegro; Southern Europe; Europe,1938,11600
Monaco; Monaco; Western Europe; Europe,1908,3100
Bangui; Central African Republic; Middle Africa; Africa,1900,9300
Hanoi; Vietnam; South-Eastern Asia; Asia,1908,9300
Jamestown; Saint Helena; Western Africa; Africa,1911,42800
Prague; Czech Republic; Eastern Europe; Europe,1947,5400
Andorra la Vella; Andorra; Southern Europe; Europe,1887,9000
Saipan; Northern Mariana Islands; Micronesia; Oceania,1938,9000
Bogota; Colombia; South America; Americas,1940,9000
Ouagadougou; Burkina Faso; Western Africa; Africa,1937,9300
Mata Utu; Wallis And Futuna Islands; Polynesia; Oceania,1924,5400
Kabul; Afghanistan; Southern Asia; Asia,1908,38600
Brazzaville; Congo; Middle Africa; Africa,1922,24100
Islamabad; Pakistan; Southern Asia; Asia,1904,39500
Torshavn; Faroe Islands; Northern Europe; Europe,1917,12400
Apia; Samoa; Polynesia; Oceania,1924,9300
Papeete; French Polynesia; Polynesia; Oceania,1867,11600
Baghdad; Iraq; Western Asia; Asia,1936,20900
Mariehamn; Aland Islands; Northern Europe; Europe,1938,9300
Antananarivo; Madagascar; Eastern Africa; Africa,1947,12400
Road Town; Virgin Islands (British); Caribbean; Americas,1926,22200
Victoria; Seychelles; Eastern Africa; Africa,1905,9300
Ankara; Turkey; Western Asia; Asia,1876,11600
Tbilisi; Georgia; Western Asia; Asia,1826,22200
Juba; South Sudan; Middle Africa; Africa,1888,17200
Monaco; Monaco; Western Europe; Europe,1954,39500
Beijing; China; Eastern Asia; Asia,1925,3100
Washington; United States; Northern America; Americas,1941,20900
Washington; United States; Northern America; Americas,1942,9000
St. John's; Antigua And Barbuda; Caribbean; Americas,1944,6500
Melekeok; Palau; Micronesia; Oceania,1923,11600
Avarua; Cook Islands; Polynesia; Oceania,1925,12400
Hamilton; Bermuda; Northern America; Americas,1930,20900
San Marino; San Marino; Southern Europe; Europe,1938,17200
Banjul; Gambia The; Western Africa; Africa,1861,11600
Longyearbyen; Svalbard And Jan Mayen Islands; Northern Europe; Europe,1942,12400
Tarawa; Kiribati; Micronesia; Oceania,1909,38600
Honiara; Solomon Islands; Melanesia; Oceania,1937,17200
Seoul; Korea South; Eastern Asia; Asia,1860,24100
Funafuti; Tuvalu; Polynesia; Oceania,1950,17200
Banjul; Gambia The; Western Africa; Africa,1905,17200
Djibouti; Djibouti; Eastern Africa; Africa,1904,20900
Baghdad; Iraq; Western Asia; Asia,1904,6500
Port-aux-Francais; French Southern Territories; Southern Africa; Africa,1889,9300
Plymouth; Montserrat; Caribbean; Americas,1887,25800
Reykjavik; Iceland; Northern Europe; Europe,1957,6500
Stockholm; Sweden; Northern Europe; Europe,1930,5400
Fort-de-France; Martinique; Caribbean; Americas,1840,12400
West Island; Cocos (Keeling) Islands; Australia and New Zealand; Oceania,1932,17200
Hagatna; Guam; Micronesia; Oceania,1938,25800
Reykjavik; Iceland; Northern Europe; Europe,1900,22200
Kiev; Ukraine; Eastern Europe; Europe,1808,20900
Warsaw; Poland; Eastern Europe; Europe,1892,39500
Singapur; Singapore; South-Eastern Asia; Asia,1910,9300
Flying Fish Cove; Christmas Island; Australia and New Zealand; Oceania,1922,12400
Castries; Saint Lucia; Caribbean; Americas,1923,9000
Bandar Seri Begawan; Brunei; South-Eastern Asia; Asia,1938,5400
Kathmandu; Nepal; Southern Asia; Asia,1943,11600
Tehran; Iran; Southern Asia; Asia,1954,20900
Melekeok; Palau; Micronesia; Oceania,1900,12400
Saint-Denis; Reunion; Eastern Africa; Africa,1902,22200
Havana; Cuba; Caribbean; Americas,1880,20900
Oranjestad; Aruba; Caribbean; Americas,1888,12400
Mata Utu; Wallis And Futuna Islands; Polynesia; Oceania,1908,22200
Vientiane; Laos; South-Eastern Asia; Asia,1903,17200
Muscat; Oman; Western Asia; Asia,1879,17200
Helsinki; Finland; Northern Europe; Europe,1857,3100
Dublin; Ireland; Northern Europe; Europe,1955,9300
Apia; Samoa; Polynesia; Oceania,1895,12400
Abu Dhabi; United Arab Emirates; Western Asia; Asia,1943,11600
Luxembourg; Luxembourg; Western Europe; Europe,1934,24100
Washington; United States; Northern America; Americas,1915,39500
Yamoussoukro; Cote D'Ivoire (Ivory Coast); Western Africa; Africa,1916,9000
Vaduz; Liechtenstein; Western Europe; Europe,1906,20900
Tbilisi; Georgia; Western Asia; Asia,1942,11600
Tunis; Tunisia; Northern Africa; Africa,1945,12400
Basseterre; Saint Kitts And Nevis; Caribbean; Americas,1867,34400
Nairobi; Kenya; Eastern Africa; Africa,1876,17200
Amsterdam; Netherlands The; Western Europe; Europe,1927,20900
Bujumbura; Burundi; Eastern Africa; Africa,1929,24100
Tirana; Albania; Southern Europe; Europe,1897,20900
Port Vila; Vanuatu; Melanesia; Oceania,1922,22200
Reykjavik; Iceland; Northern Europe; Europe,1928,12400
Bamako; Mali; Western Africa; Africa,1896,9300
Moscow; Russia; Eastern Europe; Europe,1947,9300
Belgrade; Serbia; Southern Europe; Europe,1915,25800
Sarajevo; Bosnia and Herzegovina; Southern Europe; Europe,1970,9300
Kiev; Ukraine; Eastern Europe; Europe,1909,17200
Port-aux-Francais; French Southern Territories; Southern Africa; Africa,1925,25800
Managua; Nicaragua; Central America; Americas,1891,11600
Nuuk; Greenland; Northern America; Americas,1818,9300
Belgrade; Serbia; Southern Europe; Europe,1925,9000
Palikir; Micronesia; Micronesia; Oceania,1933,9000
Kuala Lumpur; Malaysia; South-Eastern Asia; Asia,1912,9300
Kinshasa; Congo The Democratic Republic Of The; Middle Africa; Africa,1931,11600
Tbilisi; Georgia; Western Asia; Asia,1935,5400
Funafuti; Tuvalu; Polynesia; Oceania,1938,11600
Bujumbura; Burundi; Eastern Africa; Africa,1913,3100
Kigali; Rwanda; Eastern Africa; Africa,1908,20900
Port Louis; Mauritius; Eastern Africa; Africa,1860,20900
Yaounde; Cameroon; Middle Africa; Africa,1934,3100
Rome; Italy; Southern Europe; Europe,1856,9300
Amman; Jordan; Western Asia; Asia,1937,9000
Juba; South Sudan; Middle Africa; Africa,1911,22200
The Valley; Anguilla; Caribbean; Americas,1870,9000
Georgetown; Guyana; South America; Americas,1920,25800
Marigot; Saint-Martin (French part); Caribbean; Americas,1883,6500
Kiev; Ukraine; Eastern Europe; Europe,1886,9300
Santo Domingo; Dominican Republic; Caribbean; Americas,2008,9300
Hong Kong; Hong Kong S.A.R.; Eastern Asia; Asia,1936,9300
Abu Dhabi; United Arab Emirates; Western Asia; Asia,1926,5400
Ouagadougou; Burkina Faso; Western Africa; Africa,1917,9300
Hanoi; Vietnam; South-Eastern Asia; Asia,1890,20900
Willemstad; Curaçao; Caribbean; Americas,1904,43100
Alofi; Niue; Polynesia; Oceania,1948,9000
Santo Domingo; Dominican Republic; Caribbean; Americas,1927,25800
Asuncion; Paraguay; South America; Americas,1916,11600
Khartoum; Sudan; Northern Africa; Africa,1926,9300
Bamako; Mali; Western Africa; Africa,1920,11600
Sucre; Bolivia; South America; Americas,1912,24100
Lima; Peru; South America; Americas,1921,24100
Malabo; Equatorial Guinea; Middle Africa; Africa,1909,9000
Hong Kong; Hong Kong S.A.R.; Eastern Asia; Asia,1932,39500
Bamako; Mali; Western Africa; Africa,1952,11600
Bucharest; Romania; Eastern Europe; Europe,1880,9300
Mogadishu; Somalia; Eastern Africa; Africa,1896,42800
Baghdad; Iraq; Western Asia; Asia,1909,9300
Managua; Nicaragua; Central America; Americas,1938,5400
Canberra; Australia; Australia and New Zealand; Oceania,1972,9300
Majuro; Marshall Islands; Micronesia; Oceania,2014,9300
Astana; Kazakhstan; Central Asia; Asia,1886,9300
Wellington; New Zealand; Australia and New Zealand; Oceania,1884,9300
Kingston; Jamaica; Caribbean; Americas,1904,6500
San Juan; Puerto Rico; Caribbean; Americas,1905,24100
Nuuk; Greenland; Northern America; Americas,1904,12400
San Jose; Costa Rica; Central America; Americas,1883,9000
Moroni; Comoros; Eastern Africa; Africa,1918,22200
Doha; Qatar; Western Asia; Asia,1947,39500
Tallinn; Estonia; Northern Europe; Europe,1953,5400
Luxembourg; Luxembourg; Western Europe; Europe,1932,17200
Saint-Pierre; Saint Pierre and Miquelon; Northern America; Americas,1945,24100
Kuala Lumpur; Malaysia; South-Eastern Asia; Asia,1923,22200
Copenhagen; Denmark; Northern Europe; Europe,1948,12400
Managua; Nicaragua; Central America; Americas,1931,11600
Port Louis; Mauritius; Eastern Africa; Africa,1943,11600
Riga; Latvia; Northern Europe; Europe,1917,17200
Port of Spain; Trinidad And Tobago; Caribbean; Americas,1912,9300
Sofia; Bulgaria; Eastern Europe; Europe,1930,12400
Lilongwe; Malawi; Eastern Africa; Africa,1906,22200
Saint Helier; Jersey; Northern Europe; Europe,1940,6500
Grytviken; South Georgia; South America; Americas,1961,5400
Saipan; Northern Mariana Islands; Micronesia; Oceania,1904,38600
Dakar; Senegal; Western Africa; Africa,1918,6500
Santo Domingo; Dominican Republic; Caribbean; Americas,1893,9300
Accra; Ghana; Western Africa; Africa,1901,9000
Stockholm; Sweden; Northern Europe; Europe,1926,22200
Jamestown; Saint Helena; Western Africa; Africa,1937,11600
Bangkok; Thailand; South-Eastern Asia; Asia,1924,3100
Warsaw; Poland; Eastern Europe; Europe,1936,25800
Hanoi; Vietnam; South-Eastern Asia; Asia,1940,24100
Panama City; Panama; Central America; Americas,1932,6500
Belgrade; Serbia; Southern Europe; Europe,1894,9300
Stockholm; Sweden; Northern Europe; Europe,1887,22200
Castries; Saint Lucia; Caribbean; Americas,1910,9000
Funafuti; Tuvalu; Polynesia; Oceania,1978,9300
Male; Maldives; Southern Asia; Asia,1948,20900
Mamoudzou; Mayotte; Eastern Africa; Africa,1924,20900
Lome; Togo; Western Africa; Africa,1925,22200
Baku; Azerbaijan; Western Asia; Asia,1911,3100
Lusaka; Zambia; Eastern Africa; Africa,1934,12400
Niamey; Niger; Western Africa; Africa,1907,22200
Havana; Cuba; Caribbean; Americas,1941,9000
Nouakchott; Mauritania; Western Africa; Africa,1922,17200
Mamoudzou; Mayotte; Eastern Africa; Africa,1893,24100
Mbabane; Swaziland; Southern Africa; Africa,1952,11600
Diego Garcia; British Indian Ocean Territory; Eastern Africa; Africa,1870,12400
Andorra la Vella; Andorra; Southern Europe; Europe,1905,3100
Port of Spain; Trinidad And Tobago; Caribbean; Americas,1900,12400
Niamey; Niger; Western Africa; Africa,1947,17200
Beijing; China; Eastern Asia; Asia,1927,9300
Vilnius; Lithuania; Northern Europe; Europe,1853,12400
Victoria; Seychelles; Eastern Africa; Africa,1939,6500
Windhoek; Namibia; Southern Africa; Africa,1885,9000
Melekeok; Palau; Micronesia; Oceania,1908,22200
Khartoum; Sudan; Northern Africa; Africa,2004,20900
Berlin; Germany; Western Europe; Europe,1931,9000
Gaborone; Botswana; Southern Africa; Africa,1841,11600
Basseterre; Saint Kitts And Nevis; Caribbean; Americas,1955,12400
Cockburn Town; Turks And Caicos Islands; Caribbean; Americas,1934,12400
Wellington; New Zealand; Australia and New Zealand; Oceania,1943,9300
Kigali; Rwanda; Eastern Africa; Africa,1896,9300
Rome; Italy; Southern Europe; Europe,1947,9300
The Valley; Anguilla; Caribbean; Americas,1927,22200
New Delhi; India; Southern Asia; Asia,1880,24100
Nuku'alofa; Tonga; Polynesia; Oceania,1917,24100
Melekeok; Palau; Micronesia; Oceania,1930,11600
Alofi; Niue; Polynesia; Oceania,1902,20900
Tirana; Albania; Southern Europe; Europe,1924,12400
Belmopan; Belize; Central America; Americas,1914,20900
Canberra; Australia; Australia and New Zealand; Oceania,1940,34400
Riyadh; Saudi Arabia; Western Asia; Asia,1924,9300
Manama; Bahrain; Western Asia; Asia,1881,20900
Noumea; New Caledonia; Melanesia; Oceania,1952,9300
London; United Kingdom; Northern Europe; Europe,1913,9300
Jerusalem; Israel; Western Asia; Asia,1806,5400
Port of Spain; Trinidad And Tobago; Caribbean; Americas,1947,9300
Tokyo; Japan; Eastern Asia; Asia,1936,11600
Majuro; Marshall Islands; Micronesia; Oceania,1895,9000
Bamako; Mali; Western Africa; Africa,1887,20900
Ouagadougou; Burkina Faso; Western Africa; Africa,1896,5400
Kabul; Afghanistan; Southern Asia; Asia,2006,5400
Road Town; Virgin Islands (British); Caribbean; Americas,1948,24100
Caracas; Venezuela; South America; Americas,1930,24100
Madrid; Spain; Southern Europe; Europe,1939,24100
Road Town; Virgin Islands (British); Caribbean; Americas,1866,9300
Kabul; Afghanistan; Southern Asia; Asia,1917,3100
Belgrade; Serbia; Southern Europe; Europe,1860,11600
Moscow; Russia; Eastern Europe; Europe,1947,11600
Conakry; Guinea; Western Africa; Africa,1900,9000
Fort-de-France; Martinique; Caribbean; Americas,1819,20900
Lilongwe; Malawi; Eastern Africa; Africa,1907,25800
Grytviken; South Georgia; South America; Americas,1946,17200
Chisinau; Moldova; Eastern Europe; Europe,1915,20900
Windhoek; Namibia; Southern Africa; Africa,1826,11600
Port-aux-Francais; French Southern Territories; Southern Africa; Africa,1899,9300
Lisbon; Portugal; Southern Europe; Europe,1927,22200
Nassau; Bahamas The; Caribbean; Americas,1918,6500
Porto-Novo; Benin; Western Africa; Africa,1950,20900
Kampala; Uganda; Eastern Africa; Africa,1873,9300
Ulan Bator; Mongolia; Eastern Asia; Asia,1903,11600
Bissau; Guinea-Bissau; Western Africa; Africa,1932,5400
Torshavn; Faroe Islands; Northern Europe; Europe,1893,9300
Dhaka; Bangladesh; Southern Asia; Asia,1930,9300
Addis Ababa; Ethiopia; Eastern Africa; Africa,1908,12400
Bratislava; Slovakia; Eastern Europe; Europe,1939,9300
Vatican City; Vatican City State (Holy See); Southern Europe; Europe,1915,25800
Reykjavik; Iceland; Northern Europe; Europe,1897,12400
Valletta; Malta; Southern Europe; Europe,1873,9000
Port of Spain; Trinidad And Tobago; Caribbean; Americas,1926,6500
Canberra; Australia; Australia and New Zealand; Oceania,1832,9300
Amsterdam; Netherlands The; Western Europe; Europe,1854,17200
Juba; South Sudan; Middle Africa; Africa,1934,6500
Andorra la Vella; Andorra; Southern Europe; Europe,1906,9000
Warsaw; Poland; Eastern Europe; Europe,1923,9300
Hanoi; Vietnam; South-Eastern Asia; Asia,1860,12400
Gibraltar; Gibraltar; Southern Europe; Europe,1799,9000
Port Vila; Vanuatu; Melanesia; Oceania,1919,20900
Gaborone; Botswana; Southern Africa; Africa,1932,9300
Prague; Czech Republic; Eastern Europe; Europe,1942,11600
Montevideo; Uruguay; South America; Americas,1938,12400
Lisbon; Portugal; Southern Europe; Europe,1892,5400
Roseau; Dominica; Caribbean; Americas,1899,9300
Ljubljana; Slovenia; Southern Europe; Europe,1922,6500
Castries; Saint Lucia; Caribbean; Americas,1886,3100
Bucharest; Romania; Eastern Europe; Europe,1872,5400
Doha; Qatar; Western Asia; Asia,1934,6500
Charlotte Amalie; Virgin Islands (US); Caribbean; Americas,1946,11600
Minsk; Belarus; Eastern Europe; Europe,1804,34400
Suva; Fiji Islands; Melanesia; Oceania,1907,6500
Tarawa; Kiribati; Micronesia; Oceania,1916,5400
Freetown; Sierra Leone; Western Africa; Africa,1943,11600
Dhaka; Bangladesh; Southern Asia; Asia,1880,17200
Adamstown; Pitcairn Island; Polynesia; Oceania,1913,9300
Islamabad; Pakistan; Southern Asia; Asia,1923,11600
Funafuti; Tuvalu; Polynesia; Oceania,1939,9000
Rome; Italy; Southern Europe; Europe,1937,34700
Yerevan; Armenia; Western Asia; Asia,1887,12400
Baghdad; Iraq; Western Asia; Asia,1922,9300
Male; Maldives; Southern Asia; Asia,1900,12400
East Jerusalem; Palestinian Territory Occupied; Western Asia; Asia,1879,9300
Santo Domingo; Dominican Republic; Caribbean; Americas,1899,20900
Djibouti; Djibouti; Eastern Africa; Africa,1881,17200
Yerevan; Armenia; Western Asia; Asia,1937,17200
Victoria; Seychelles; Eastern Africa; Africa,1924,12400
Porto-Novo; Benin; Western Africa; Africa,1936,17200
Diego Garcia; British Indian Ocean Territory; Eastern Africa; Africa,1917,20900
New Delhi; India; Southern Asia; Asia,1848,38600
Tashkent; Uzbekistan; Central Asia; Asia,1908,24100
Saint-Pierre; Saint Pierre and Miquelon; Northern America; Americas,1920,25800
Dhaka; Bangladesh; Southern Asia; Asia,1928,6500
Palikir; Micronesia; Micronesia; Oceania,1921,9300
Mariehamn; Aland Islands; Northern Europe; Europe,1880,9300
Doha; Qatar; Western Asia; Asia,1905,9000
Sucre; Bolivia; South America; Americas,1937,9000
Dakar; Senegal; Western Africa; Africa,1940,34400
Tirana; Albania; Southern Europe; Europe,2003,34700
Brussels; Belgium; Western Europe; Europe,1943,5400
Yaounde; Cameroon; Middle Africa; Africa,1938,20900
Lome; Togo; Western Africa; Africa,1901,9300
Luxembourg; Luxembourg; Western Europe; Europe,1912,24100
"Douglas, Isle of Man; Man (Isle of); Northern Europe; Europe",1964,9000
Charlotte Amalie; Virgin Islands (US); Caribbean; Americas,1821,9000
Thimphu; Bhutan; Southern Asia; Asia,1869,9000
San Jose; Costa Rica; Central America; Americas,1903,34700
Melekeok; Palau; Micronesia; Oceania,1949,9300
Male; Maldives; Southern Asia; Asia,1888,22200
Tallinn; Estonia; Northern Europe; Europe,1921,9000
Basse-Terre; Guadeloupe; Caribbean; Americas,1899,11600
Flying Fish Cove; Christmas Island; Australia and New Zealand; Oceania,1940,12400
Santo Domingo; Dominican Republic; Caribbean; Americas,2007,12400
Basseterre; Saint Kitts And Nevis; Caribbean; Americas,1830,12400
Riga; Latvia; Northern Europe; Europe,1933,9000
Bern; Switzerland; Western Europe; Europe,1950,11600
Belgrade; Serbia; Southern Europe; Europe,1904,6500
Plymouth; Montserrat; Caribbean; Americas,1986,25800
Diego Garcia; British Indian Ocean Territory; Eastern Africa; Africa,1910,11600
Rome; Italy; Southern Europe; Europe,1928,22200
Manama; Bahrain; Western Asia; Asia,1943,25800
Dili; East Timor; South-Eastern Asia; Asia,1923,5400
Noumea; New Caledonia; Melanesia; Oceania,1991,22200
Papeete; French Polynesia; Polynesia; Oceania,1836,17200
Victoria; Seychelles; Eastern Africa; Africa,1937,9000
Mexico City; Mexico; Central America; Americas,1938,5400
Canberra; Australia; Australia and New Zealand; Oceania,1932,9300
Taipei; Taiwan; Eastern Asia; Asia,1963,20900
Rome; Italy; Southern Europe; Europe,1960,6500
Victoria; Seychelles; Eastern Africa; Africa,1920,5400
St Peter Port; Guernsey and Alderney; Northern Europe; Europe,1928,9300
Antananarivo; Madagascar; Eastern Africa; Africa,1942,3100
St. John's; Antigua And Barbuda; Caribbean; Americas,1942,24100
Hong Kong; Hong Kong S.A.R.; Eastern Asia; Asia,1902,20900
Tarawa; Kiribati; Micronesia; Oceania,1939,22200
Sofia; Bulgaria; Eastern Europe; Europe,1938,9300
Charlotte Amalie; Virgin Islands (US); Caribbean; Americas,1900,22200
Lome; Togo; Western Africa; Africa,1900,9300
Mbabane; Swaziland; Southern Africa; Africa,1941,9300
Grytviken; South Georgia; South America; Americas,1924,17200
Madrid; Spain; Southern Europe; Europe,1897,17200
Marigot; Saint-Martin (French part); Caribbean; Americas,1897,9300
Macao; Macau S.A.R.; Eastern Asia; Asia,1912,6500
"Kralendijk; Bonaire, Sint Eustatius and Saba; Caribbean; Americas",1926,20900
Nicosia; Cyprus; Southern Europe; Europe,1930,34700
Seoul; Korea South; Eastern Asia; Asia,1893,22200
Athens; Greece; Southern Europe; Europe,1927,11600
Santo Domingo; Dominican Republic; Caribbean; Americas,1896,6500
Libreville; Gabon; Middle Africa; Africa,1922,6500
Belmopan; Belize; Central America; Americas,1947,20900
Tarawa; Kiribati; Micronesia; Oceania,1941,34700
Port Vila; Vanuatu; Melanesia; Oceania,1912,38600
Berlin; Germany; Western Europe; Europe,1912,24100
Victoria; Seychelles; Eastern Africa; Africa,1891,11600
San Jose; Costa Rica; Central America; Americas,1923,43100
Paramaribo; Suriname; South America; Americas,1941,9000
Willemstad; Curaçao; Caribbean; Americas,1937,9000
Abuja; Nigeria; Western Africa; Africa,1887,20900
Nuuk; Greenland; Northern America; Americas,1889,17200
Oranjestad; Aruba; Caribbean; Americas,1860,9000
Accra; Ghana; Western Africa; Africa,1957,9300
Vientiane; Laos; South-Eastern Asia; Asia,1933,3100
Saint-Pierre; Saint Pierre and Miquelon; Northern America; Americas,1948,17200
Port Moresby; Papua new Guinea; Melanesia; Oceania,1943,20900
Moroni; Comoros; Eastern Africa; Africa,1901,5400
Athens; Greece; Southern Europe; Europe,1907,6500
Bamako; Mali; Western Africa; Africa,1941,9300
Vilnius; Lithuania; Northern Europe; Europe,1941,9300
Ashgabat; Turkmenistan; Central Asia; Asia,1850,9300
Papeete; French Polynesia; Polynesia; Oceania,1903,34700
Nuku'alofa; Tonga; Polynesia; Oceania,1925,11600
Djibouti; Djibouti; Eastern Africa; Africa,1852,12400
"Kralendijk; Bonaire, Sint Eustatius and Saba; Caribbean; Americas",1939,43100
Guatemala City; Guatemala; Central America; Americas,1907,9300
Kathmandu; Nepal; Southern Asia; Asia,1857,6500
Damascus; Syria; Western Asia; Asia,1933,34700
Tokyo; Japan; Eastern Asia; Asia,1878,5400
Kinshasa; Congo The Democratic Republic Of The; Middle Africa; Africa,1947,9300
St. George's; Grenada; Caribbean; Americas,1916,20900
Santo Domingo; Dominican Republic; Caribbean; Americas,1872,6500
Apia; Samoa; Polynesia; Oceania,1925,39500
Antananarivo; Madagascar; Eastern Africa; Africa,1935,5400
El-Aaiun; Western Sahara; Northern Africa; Africa,1894,20900
Sao Tome; Sao Tome and Principe; Middle Africa; Africa,1916,9300
Accra; Ghana; Western Africa; Africa,1926,6500
Alofi; Niue; Polynesia; Oceania,1917,12400
Stockholm; Sweden; Northern Europe; Europe,1921,24100
Monaco; Monaco; Western Europe; Europe,1883,9000
Malabo; Equatorial Guinea; Middle Africa; Africa,1872,34700
Tehran; Iran; Southern Asia; Asia,1859,9300
Lima; Peru; South America; Americas,1943,9300
Colombo; Sri Lanka; Southern Asia; Asia,1908,9300
Kingston; Norfolk Island; Australia and New Zealand; Oceania,1900,11600
Kigali; Rwanda; Eastern Africa; Africa,1944,22200
Moscow; Russia; Eastern Europe; Europe,1933,12400
Nicosia; Cyprus; Southern Europe; Europe,1935,9300
Beijing; China; Eastern Asia; Asia,1936,9300
Basse-Terre; Guadeloupe; Caribbean; Americas,1935,17200
Kuala Lumpur; Malaysia; South-Eastern Asia; Asia,1961,9000
Gaborone; Botswana; Southern Africa; Africa,1932,17200
Ottawa; Canada; Northern America; Americas,1954,9000
Pristina; Kosovo; Eastern Europe; Europe,1943,20900
Melekeok; Palau; Micronesia; Oceania,1949,11600
Vienna; Austria; Western Europe; Europe,1902,25800
Road Town; Virgin Islands (British); Caribbean; Americas,1935,9000
Bangui; Central African Republic; Middle Africa; Africa,1936,9300
Kampala; Uganda; Eastern Africa; Africa,1956,25800
Melekeok; Palau; Micronesia; Oceania,1931,11600
Yamoussoukro; Cote D'Ivoire (Ivory Coast); Western Africa; Africa,1900,34400
Nuuk; Greenland; Northern America; Americas,1880,17200
Nuku'alofa; Tonga; Polynesia; Oceania,2016,5400
Yamoussoukro; Cote D'Ivoire (Ivory Coast); Western Africa; Africa,1916,34400
Hamilton; Bermuda; Northern America; Americas,1910,12400
Brasilia; Brazil; South America; Americas,1917,12400
Pyongyang; Korea North; Eastern Asia; Asia,1892,11600
Yaren; Nauru; Micronesia; Oceania,1880,9000
Roseau; Dominica; Caribbean; Americas,1913,9000
St. George's; Grenada; Caribbean; Americas,1889,11600
Pyongyang; Korea North; Eastern Asia; Asia,1941,11600
Palikir; Micronesia; Micronesia; Oceania,1946,5400
Lima; Peru; South America; Americas,1928,9300
Tbilisi; Georgia; Western Asia; Asia,1899,9000
Tripolis; Libya; Northern Africa; Africa,1824,17200
Ljubljana; Slovenia; Southern Europe; Europe,1876,3100
Port Vila; Vanuatu; Melanesia; Oceania,1938,5400
Islamabad; Pakistan; Southern Asia; Asia,1910,9300
Porto-Novo; Benin; Western Africa; Africa,1909,5400
Gustavia; Saint-Barthelemy; Caribbean; Americas,1937,9300
Funafuti; Tuvalu; Polynesia; Oceania,2015,9000
Lusaka; Zambia; Eastern Africa; Africa,1923,9300
Castries; Saint Lucia; Caribbean; Americas,1904,3100
Damascus; Syria; Western Asia; Asia,1925,24100
Hanoi; Vietnam; South-Eastern Asia; Asia,1921,11600
Wellington; New Zealand; Australia and New Zealand; Oceania,1895,9300
Minsk; Belarus; Eastern Europe; Europe,1923,11600
Guatemala City; Guatemala; Central America; Americas,1902,22200
Torshavn; Faroe Islands; Northern Europe; Europe,1928,22200
Ottawa; Canada; Northern America; Americas,1922,6500
Gaborone; Botswana; Southern Africa; Africa,1943,12400
Bratislava; Slovakia; Eastern Europe; Europe,1985,11600
Ouagadougou; Burkina Faso; Western Africa; Africa,1919,11600
The Valley; Anguilla; Caribbean; Americas,1913,5400
Maputo; Mozambique; Eastern Africa; Africa,1916,34400
Dili; East Timor; South-Eastern Asia; Asia,1948,11600
Addis Ababa; Ethiopia; Eastern Africa; Africa,1895,6500
Tarawa; Kiribati; Micronesia; Oceania,1869,9300
Kabul; Afghanistan; Southern Asia; Asia,1941,9300
Rome; Italy; Southern Europe; Europe,1933,24100
Belgrade; Serbia; Southern Europe; Europe,2007,20900
Dublin; Ireland; Northern Europe; Europe,1913,9300
Tarawa; Kiribati; Micronesia; Oceania,1911,34400
Saipan; Northern Mariana Islands; Micronesia; Oceania,1929,9300
